coordinate_index,time_seconds,vehicle_id,x,y,z,transport,tcp_variant,throughput_mbps,packet_delivery_ratio,packet_loss_ratio,average_delay_ms,average_jitter_ms,rss_dbm,path_gain_db,sinr_db,valid_paths,retransmissions,average_rtt_ms,final_cwnd,average_cwnd,distance_from_tx_m,valid_paths_count,los_available,los_present,strongest_path_delay_ns,lostPackets,returncode,rxBytes,rxPackets,sionna_recomputed_for_step,txBytes,txPackets
0,1.0,car_1,27.16945945945946,-8.382413127413127,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-41.577613830566406,-64.5776138305664,55.422386169433594,1,0,,,,25.71157961026996,1,True,True,85.76459720188723,2,0,0,0,True,168,3
1,2.0,car_1,13.824343906677,-11.206532391493472,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-44.965782165527344,-67.96578216552734,52.034217834472656,1,0,,,,37.16370603824866,1,True,True,123.96478155096702,2,0,0,0,True,168,3
2,3.0,car_1,1.3583474290100348,-13.844610770005275,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-49.26759338378906,-72.26759338378906,47.73240661621094,1,0,,,,48.88694693181125,1,True,True,163.06930206155812,2,0,0,0,True,168,3
3,4.0,car_1,-12.095924613832473,-16.69182994244975,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-55.6021728515625,-78.6021728515625,41.3978271484375,1,0,,,,61.99239485900287,1,True,True,206.78437806509464,2,0,0,0,True,168,3
4,5.0,car_1,-24.972236263553768,-19.416740014337297,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-53.732337951660156,-76.73233795166016,43.267662048339844,1,0,,,,74.75280818181545,1,True,True,249.34851694524696,2,0,0,0,True,168,3
5,6.0,car_1,-38.280166659976004,-22.232990083430202,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-56.274993896484375,-79.27499389648438,40.725006103515625,1,0,,,,88.06509942019024,1,True,True,293.7535157343518,2,0,0,0,True,168,3
6,7.0,car_1,-51.38885071275732,-25.007075254426248,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,101.25356613549879,1,True,True,337.7455470854329,2,0,0,0,True,168,3
7,8.0,car_1,-61.60227413828322,-27.168459750060922,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-72.0784683227539,-95.0784683227539,24.921531677246094,1,0,,,,111.5639305185268,1,True,True,372.13720815998386,2,0,0,0,True,168,3
8,9.0,car_1,-68.87242002471979,-28.706982138222568,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,118.91682313367073,1,True,True,396.6638075780793,2,0,0,0,True,168,3
9,10.0,car_1,-71.468025494141,-27.9741549603509,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,,,,,0,,,,,,False,False,,2,0,0,0,False,168,3
10,11.0,car_1,-72.58350775013257,-25.193618440144533,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,122.31081225106792,1,True,True,407.9849418303638,2,0,0,0,True,168,3
11,12.0,car_1,-74.43685452584145,-20.52121291985204,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-64.82352447509766,-87.82352447509766,32.176475524902344,1,0,,,,123.93266765983209,1,True,True,413.39484369018464,2,0,0,0,True,168,3
12,13.0,car_1,-77.01082584409454,-14.03206693049442,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-63.986328125,-86.986328125,33.013671875,1,0,,,,126.48235804053768,1,True,True,421.8997275984293,2,0,0,0,True,168,3
13,14.0,car_1,-80.52830082060213,-5.164287995039452,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,130.49105271432808,1,True,True,435.27126081244205,2,0,0,0,True,168,3
14,15.0,car_1,-84.68265210093976,5.309096754050032,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,135.93747553455788,1,True,True,453.4385880106129,2,0,0,0,True,168,3
15,16.0,car_1,-89.36166161694959,17.105178404092676,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-55.21154022216797,-78.21154022216797,41.78845977783203,1,0,,,,142.8893371732612,1,True,True,476.62754809607577,2,0,0,0,True,168,3
16,17.0,car_1,-94.14759773352458,29.170828839262278,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,150.77542990725263,1,True,True,502.93266440348816,2,0,0,0,True,168,3
17,18.0,car_1,-98.92625950898213,41.218140196155154,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,159.31660372556027,1,True,True,533.116178758064,2,0,0,0,True,168,3
18,19.0,car_1,-103.60494014599719,53.01339272125973,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,168.2272062175915,1,True,True,562.7493351312296,2,0,0,0,True,168,3
19,20.0,car_1,-108.41657671827623,65.14383564571384,1.5,tcp,TcpNewReno,0.0,0.0,0.6666666666666666,0.0,0.0,-277.0,-300.0,-180.0,1,0,,,,177.87028562183124,1,True,True,594.8285206613946,2,0,0,0,True,168,3
