time_seconds,old_rtt_ms,new_rtt_ms
1.020999999,0,20
1.040999999,20,19
1.042999999,19,19
1.043999999,19,19
1.047999999,19,19
1.048999999,19,20
1.051999999,20,20
1.057999999,20,21
1.060999999,21,22
1.065999999,22,24
1.067999999,24,25
1.068999999,25,26
1.069999999,26,26
1.071999999,26,26
1.075999999,26,27
1.079999999,27,28
1.080999999,28,29
1.081999999,29,30
1.082999999,30,30
1.089999999,30,31
1.096999999,31,32
1.097999999,32,33
1.098999999,33,33
1.102999999,33,33
1.107999999,33,34
1.110999999,34,34
1.117999999,34,36
1.118999999,36,37
1.122999999,37,37
1.130999999,37,39
1.133999999,39,40
1.135999999,40,42
1.137999999,42,44
1.146999999,44,45
1.150999999,45,47
1.155999999,47,49
1.162999999,49,51
1.172999999,51,54
1.175999999,54,56
1.176999999,56,59
1.178999999,59,61
1.182999999,61,62
1.183999999,62,64
1.186999999,64,65
1.190999999,65,66
1.192999999,66,67
1.200999999,67,69
1.203999999,69,70
1.207999999,70,71
1.212999999,71,72
1.213999999,72,73
1.215999999,73,74
1.221999999,74,75
1.223999999,75,77
1.224999999,77,77
1.227999999,77,77
1.238999999,77,79
1.239999999,79,79
1.242999999,79,80
1.243999999,80,80
1.246999999,80,79
1.249999999,79,79
1.256999999,79,79
1.257999999,79,79
1.262999999,79,80
1.266999999,80,81
1.270999999,81,82
1.273999999,82,83
1.275999999,83,84
1.277999999,84,85
1.282999999,85,86
1.284999999,86,88
1.285999999,88,88
1.286999999,88,89
1.287999999,89,90
1.296999999,90,92
1.297999999,92,93
1.298999999,93,95
1.302999999,95,96
1.305999999,96,97
1.311999999,97,99
1.313999999,99,100
1.316999999,100,102
1.321999999,102,104
1.325999999,104,105
1.326999999,105,107
1.327999999,107,108
1.328999999,108,109
1.331999999,109,111
1.335999999,111,112
1.339999999,112,114
1.341999999,114,115
1.342999999,115,117
1.347999999,117,119
1.348999999,119,121
1.351999999,121,122
1.353999999,122,124
1.354999999,124,125
1.355999999,125,126
1.357999999,126,127
1.358999999,127,128
1.359999999,128,129
1.362999999,129,130
1.363999999,130,131
1.365999999,131,132
1.367999999,132,133
1.373999999,133,133
1.378999999,133,134
1.381999999,134,135
1.388999999,135,136
1.391999999,136,138
1.392999999,138,139
1.396999999,139,140
1.398999999,140,142
1.402999999,142,143
1.405999999,143,144
1.409999999,144,145
1.410999999,145,146
1.415999999,146,147
1.420999999,147,149
1.422999999,149,149
1.426999999,149,151
1.431999999,151,152
1.432999999,152,153
1.435999999,153,154
1.439999999,154,155
1.443999999,155,156
1.447999999,156,157
1.452999999,157,159
1.455999999,159,160
1.461999999,160,162
1.464999999,162,164
1.468999999,164,165
1.471999999,165,166
1.476999999,166,167
1.480999999,167,168
1.482999999,168,169
1.486999999,169,170
1.491999999,170,171
1.493999999,171,172
1.499999999,172,172
1.503999999,172,173
1.505999999,173,174
1.513999999,174,175
1.515999999,175,177
1.517999999,177,178
1.518999999,178,178
1.529999999,178,180
1.530999999,180,181
1.533999999,181,182
1.537999999,182,183
1.540999999,183,184
1.542999999,184,185
1.545999999,185,186
1.549999999,186,187
1.553999999,187,188
1.564999999,188,190
1.568999999,190,193
1.571999999,193,195
1.574999999,195,197
1.579999999,197,199
1.580999999,199,201
1.581999999,201,203
1.583999999,203,205
1.585999999,205,206
1.592999999,206,207
1.597999999,207,209
1.599999999,209,210
1.609999999,210,212
1.611999999,212,213
1.612999999,213,214
1.616999999,214,215
1.617999999,215,217
1.618999999,217,217
1.623999999,217,218
1.624999999,218,219
1.628999999,219,221
1.633999999,221,222
1.635999999,222,223
1.637999999,223,225
1.642999999,225,226
1.648999999,226,228
1.650999999,228,230
1.653999999,230,232
1.654999999,232,233
1.655999999,233,235
1.658999999,235,236
1.659999999,236,238
1.660999999,238,239
1.662999999,239,240
1.665999999,240,241
1.667999999,241,242
1.672999999,242,243
1.676999999,243,244
1.680999999,244,246
1.681999999,246,248
1.682999999,248,249
1.684999999,249,250
1.685999999,250,251
1.688999999,251,253
1.689999999,253,253
1.694999999,253,254
1.698999999,254,256
1.702999999,256,258
1.703999999,258,259
1.707999999,259,261
